,ground_truth_crude,ground_truth_adjusted,mental,antidepressant,psychiatrist,rejected,trajectory,woeful,wounded,abuse,caregiver,misery,kill,anxiety,reckless,nervous,distracted,nothing,health,sad,talk,monitor,unpredictable,distractable,opinion,appetite loss,fatalistic,upset,tearful,sadness,drinking,alienation,warning,misunderstanding,anger,despondent,fragile,down,uneasy,medication,patience,withdrawn,melancholia,nightmarish,pessimistic,pessimism,breakdown,level,endure,fatigue,clinical,failed,dreadful,poor,agitated,anxious,gloomy,amenorrhea,catatonic,distressed,progress,die,paranoid,heal,fight,debilitating,weak,worthless,peers,demoralized,sorrow,melancholy,weepy,irrational,miserable,drugs,worry,crying,treatment,struggle,cruel,hopelessness,irritable,interested,discontented,attitude,fast food,alcohol,crushed,finality,disheartened,unfulfilled,separation,pain,sympathetic,grouchy,disinterest,tragic,discrimination,seriousness,obesity,unconcerned,unloved,talking,death,detriment,grief,uncomfortable,observation,tragedy,unhappy,education,diagnosis,therapy,low sex drive,isolation,fat,trapped,abnormal,family,exhausted,gain,vulnerable,depressed,resulting,studies,terrified,uncooperative,unsettling,esteem,afraid,tired,prevent,protect,inactivity,suffer,desperate,insecure,media,distraught,crisis,suffering,anguish,grieving,withdrawal,lousy,need,burger,weight loss,physician,affect,broken,child,patient,help,devastated,dismal,pattern,disorder,friends,excluded,problem,skills,needy,shattered,evaluation,fatigued,inconsolable,inadequate,morbid,counsel,diet,desolate,hurt,freaking,overcome,lonely,wretched,overeating,mental health,agony,donut,injured,defeated,insomnia,low,sorrowful,suicidal,suicide,uncertain,wailing,fear,substance abuse,youth,antisocial,solitary,aid,moody,blase,forlorn,confusion,consumed,feelings,validation,courage,alone,panic,oppressed,improvement,downhearted,knowledgeable,dog days,abandoned,troubled,siblings,sleep,oncoming,despair,strength,isolated,scared,irritability,reactive,empty,hot-line,inability,depression,negative,sport,dejected
Georgia,18.3,18.2,60.0,56.0,81.0,61.0,49.0,51.0,39.0,60.0,15.0,18.0,80.0,68.0,61.0,74.0,45.0,85.0,57.0,28.0,72.0,34.0,55.0,0.0,23.0,74.0,26.0,91.0,46.0,69.0,75.0,53.0,57.0,45.0,78.0,55.0,68.0,88.0,58.0,77.0,94.0,72.0,42.0,30.0,67.0,51.0,66.0,80.0,57.0,74.0,43.0,65.0,64.0,78.0,71.0,87.0,72.0,50.0,38.0,53.0,13.0,78.0,68.0,38.0,71.0,62.0,86.0,58.0,41.0,56.0,67.0,63.0,27.0,66.0,74.0,48.0,83.0,86.0,79.0,83.0,71.0,100.0,55.0,80.0,35.0,36.0,88.0,81.0,53.0,51.0,77.0,32.0,79.0,79.0,58.0,36.0,78.0,73.0,63.0,38.0,57.0,71.0,40.0,57.0,86.0,51.0,71.0,71.0,65.0,78.0,59.0,59.0,59.0,65.0,76.0,66.0,96.0,63.0,67.0,80.0,47.0,89.0,50.0,72.0,53.0,67.0,59.0,56.0,49.0,72.0,73.0,84.0,74.0,77.0,49.0,74.0,61.0,84.0,44.0,56.0,65.0,67.0,56.0,43.0,71.0,44.0,95.0,85.0,85.0,66.0,74.0,13.0,96.0,58.0,82.0,34.0,30.0,57.0,64.0,78.0,65.0,79.0,78.0,64.0,66.0,57.0,71.0,38.0,56.0,45.0,25.0,78.0,68.0,82.0,51.0,79.0,70.0,47.0,38.0,47.0,46.0,65.0,80.0,49.0,48.0,81.0,26.0,62.0,72.0,39.0,59.0,49.0,49.0,55.0,62.0,62.0,53.0,35.0,80.0,54.0,63.0,47.0,74.0,19.0,62.0,69.0,81.0,64.0,66.0,77.0,68.0,74.0,68.0,62.0,74.0,88.0,55.0,60.0,70.0,61.0,91.0,49.0,63.0,70.0,0.0,60.0,69.0,75.0,71.0,60.0
Hawaii,11.6,11.7,51.0,35.0,73.0,55.0,29.0,0.0,37.0,66.0,24.0,18.0,75.0,63.0,50.0,67.0,50.0,78.0,52.0,33.0,36.0,38.0,83.0,0.0,26.0,71.0,0.0,78.0,0.0,90.0,74.0,60.0,100.0,27.0,79.0,70.0,73.0,84.0,23.0,65.0,100.0,56.0,78.0,0.0,71.0,98.0,61.0,71.0,53.0,72.0,61.0,60.0,93.0,78.0,100.0,82.0,95.0,50.0,40.0,30.0,8.0,73.0,53.0,41.0,89.0,79.0,95.0,67.0,63.0,0.0,49.0,82.0,41.0,62.0,79.0,100.0,58.0,89.0,86.0,77.0,90.0,0.0,57.0,75.0,0.0,35.0,66.0,86.0,33.0,0.0,0.0,53.0,75.0,70.0,60.0,49.0,0.0,64.0,71.0,0.0,68.0,0.0,0.0,44.0,83.0,54.0,67.0,57.0,78.0,56.0,70.0,59.0,59.0,68.0,0.0,79.0,83.0,49.0,59.0,65.0,57.0,79.0,58.0,97.0,39.0,67.0,56.0,0.0,0.0,80.0,81.0,80.0,85.0,90.0,25.0,67.0,55.0,82.0,46.0,53.0,54.0,58.0,45.0,59.0,57.0,51.0,85.0,89.0,61.0,61.0,75.0,13.0,62.0,42.0,71.0,95.0,34.0,55.0,64.0,80.0,69.0,83.0,74.0,46.0,76.0,65.0,89.0,86.0,54.0,44.0,34.0,77.0,45.0,62.0,36.0,71.0,75.0,50.0,52.0,44.0,67.0,79.0,72.0,36.0,45.0,71.0,24.0,60.0,76.0,79.0,58.0,43.0,49.0,56.0,50.0,44.0,44.0,14.0,26.0,64.0,60.0,46.0,62.0,15.0,51.0,66.0,67.0,51.0,57.0,0.0,73.0,50.0,71.0,40.0,79.0,81.0,0.0,49.0,72.0,69.0,69.0,61.0,49.0,77.0,0.0,55.0,69.0,79.0,80.0,70.0
Idaho,19.7,19.8,82.0,58.0,47.0,67.0,66.0,0.0,33.0,71.0,17.0,24.0,94.0,73.0,73.0,86.0,78.0,77.0,85.0,32.0,47.0,46.0,39.0,0.0,29.0,81.0,0.0,76.0,0.0,84.0,68.0,54.0,70.0,93.0,95.0,78.0,95.0,88.0,46.0,81.0,81.0,52.0,84.0,46.0,48.0,45.0,68.0,89.0,68.0,91.0,39.0,87.0,72.0,88.0,34.0,97.0,73.0,67.0,77.0,35.0,12.0,91.0,56.0,42.0,68.0,44.0,86.0,66.0,49.0,0.0,52.0,68.0,0.0,62.0,54.0,42.0,63.0,79.0,81.0,69.0,90.0,0.0,65.0,75.0,0.0,37.0,71.0,86.0,60.0,0.0,0.0,0.0,75.0,76.0,85.0,20.0,0.0,51.0,75.0,0.0,80.0,0.0,0.0,51.0,97.0,28.0,86.0,100.0,69.0,89.0,61.0,73.0,69.0,100.0,0.0,91.0,95.0,52.0,59.0,95.0,61.0,93.0,60.0,81.0,69.0,70.0,68.0,0.0,0.0,69.0,82.0,84.0,80.0,92.0,100.0,68.0,55.0,51.0,51.0,55.0,71.0,71.0,32.0,41.0,67.0,63.0,93.0,63.0,77.0,69.0,90.0,14.0,86.0,51.0,88.0,23.0,25.0,94.0,84.0,81.0,94.0,82.0,85.0,60.0,100.0,73.0,98.0,71.0,53.0,28.0,27.0,85.0,50.0,69.0,100.0,87.0,63.0,62.0,70.0,67.0,85.0,69.0,84.0,48.0,47.0,82.0,22.0,82.0,82.0,52.0,100.0,53.0,55.0,91.0,70.0,48.0,49.0,20.0,30.0,48.0,75.0,59.0,54.0,20.0,80.0,78.0,88.0,54.0,56.0,0.0,66.0,43.0,88.0,53.0,76.0,95.0,54.0,69.0,81.0,74.0,75.0,46.0,89.0,85.0,0.0,79.0,95.0,92.0,71.0,11.0
Illinois,15.3,15.4,63.0,61.0,69.0,68.0,43.0,21.0,35.0,60.0,18.0,20.0,75.0,72.0,82.0,67.0,37.0,78.0,61.0,30.0,39.0,37.0,60.0,0.0,24.0,64.0,47.0,79.0,91.0,83.0,75.0,55.0,61.0,49.0,70.0,61.0,72.0,81.0,49.0,69.0,80.0,57.0,66.0,20.0,61.0,56.0,59.0,75.0,55.0,70.0,51.0,69.0,62.0,80.0,54.0,76.0,73.0,63.0,49.0,39.0,11.0,79.0,69.0,33.0,69.0,53.0,77.0,49.0,41.0,42.0,49.0,73.0,49.0,58.0,81.0,41.0,69.0,85.0,74.0,76.0,67.0,77.0,62.0,73.0,29.0,29.0,76.0,82.0,49.0,45.0,69.0,23.0,61.0,76.0,58.0,36.0,84.0,58.0,71.0,48.0,57.0,53.0,63.0,51.0,85.0,39.0,72.0,80.0,69.0,65.0,58.0,52.0,66.0,70.0,66.0,72.0,86.0,61.0,59.0,83.0,54.0,85.0,49.0,74.0,37.0,60.0,61.0,24.0,72.0,71.0,69.0,77.0,74.0,74.0,33.0,59.0,59.0,69.0,48.0,55.0,67.0,64.0,52.0,40.0,66.0,55.0,91.0,85.0,67.0,66.0,69.0,13.0,77.0,49.0,74.0,46.0,26.0,54.0,70.0,74.0,56.0,79.0,70.0,49.0,68.0,58.0,81.0,61.0,41.0,42.0,33.0,73.0,62.0,69.0,49.0,62.0,66.0,46.0,50.0,49.0,48.0,72.0,78.0,38.0,61.0,74.0,34.0,67.0,77.0,40.0,53.0,49.0,41.0,54.0,74.0,66.0,37.0,33.0,60.0,50.0,75.0,44.0,62.0,27.0,58.0,69.0,75.0,51.0,63.0,21.0,61.0,56.0,63.0,59.0,67.0,85.0,43.0,68.0,65.0,66.0,80.0,50.0,65.0,88.0,56.0,55.0,71.0,76.0,77.0,48.0
Indiana,20.5,20.5,73.0,56.0,65.0,73.0,60.0,74.0,46.0,71.0,13.0,23.0,88.0,80.0,67.0,88.0,53.0,78.0,75.0,34.0,50.0,41.0,37.0,0.0,30.0,60.0,66.0,91.0,57.0,92.0,77.0,58.0,60.0,43.0,81.0,60.0,76.0,89.0,62.0,82.0,82.0,85.0,72.0,29.0,74.0,91.0,70.0,94.0,60.0,84.0,60.0,82.0,64.0,92.0,61.0,74.0,68.0,67.0,47.0,44.0,12.0,97.0,74.0,35.0,68.0,73.0,88.0,81.0,53.0,50.0,62.0,98.0,24.0,70.0,74.0,43.0,89.0,86.0,83.0,85.0,81.0,41.0,61.0,86.0,51.0,38.0,71.0,87.0,67.0,46.0,50.0,41.0,81.0,79.0,76.0,37.0,0.0,79.0,100.0,76.0,82.0,69.0,38.0,49.0,93.0,72.0,94.0,73.0,85.0,88.0,73.0,78.0,91.0,76.0,52.0,87.0,84.0,69.0,76.0,91.0,55.0,93.0,64.0,81.0,58.0,87.0,62.0,69.0,72.0,84.0,75.0,84.0,90.0,93.0,59.0,72.0,57.0,63.0,51.0,63.0,75.0,100.0,77.0,46.0,75.0,54.0,92.0,66.0,75.0,82.0,95.0,14.0,84.0,60.0,87.0,35.0,36.0,71.0,86.0,80.0,78.0,94.0,93.0,53.0,91.0,67.0,66.0,50.0,60.0,50.0,27.0,85.0,83.0,75.0,43.0,75.0,67.0,39.0,61.0,56.0,59.0,85.0,91.0,58.0,71.0,83.0,40.0,73.0,82.0,62.0,45.0,58.0,49.0,69.0,88.0,94.0,38.0,28.0,44.0,71.0,79.0,52.0,65.0,22.0,69.0,73.0,87.0,74.0,70.0,0.0,63.0,55.0,90.0,64.0,81.0,86.0,69.0,69.0,85.0,86.0,81.0,81.0,84.0,83.0,100.0,91.0,89.0,100.0,71.0,58.0
Iowa,19.0,19.5,89.0,66.0,60.0,60.0,43.0,0.0,44.0,95.0,11.0,24.0,88.0,75.0,53.0,93.0,49.0,75.0,63.0,33.0,46.0,42.0,29.0,0.0,29.0,79.0,31.0,94.0,0.0,83.0,85.0,52.0,63.0,39.0,74.0,61.0,69.0,85.0,34.0,77.0,76.0,95.0,75.0,0.0,58.0,24.0,69.0,91.0,32.0,85.0,46.0,75.0,55.0,82.0,46.0,73.0,84.0,57.0,49.0,35.0,12.0,91.0,51.0,35.0,67.0,65.0,80.0,67.0,61.0,21.0,43.0,84.0,66.0,48.0,75.0,46.0,77.0,78.0,80.0,90.0,70.0,27.0,60.0,80.0,0.0,32.0,59.0,86.0,51.0,95.0,21.0,17.0,61.0,79.0,83.0,35.0,0.0,57.0,82.0,57.0,78.0,0.0,53.0,48.0,96.0,49.0,90.0,83.0,84.0,69.0,48.0,67.0,74.0,83.0,29.0,77.0,83.0,52.0,59.0,100.0,44.0,94.0,48.0,84.0,74.0,71.0,57.0,0.0,34.0,75.0,80.0,80.0,89.0,88.0,56.0,82.0,60.0,57.0,49.0,57.0,84.0,79.0,49.0,55.0,68.0,23.0,93.0,71.0,79.0,59.0,91.0,14.0,91.0,51.0,87.0,33.0,22.0,72.0,85.0,87.0,66.0,86.0,96.0,57.0,91.0,58.0,89.0,65.0,70.0,49.0,22.0,83.0,58.0,76.0,36.0,74.0,63.0,37.0,68.0,78.0,55.0,68.0,89.0,48.0,63.0,78.0,23.0,73.0,81.0,51.0,45.0,52.0,71.0,73.0,68.0,72.0,35.0,15.0,19.0,61.0,63.0,66.0,58.0,27.0,86.0,69.0,83.0,53.0,75.0,0.0,59.0,75.0,80.0,71.0,85.0,92.0,47.0,52.0,89.0,63.0,73.0,70.0,76.0,83.0,0.0,35.0,97.0,91.0,72.0,34.0
Kansas,19.5,19.5,75.0,45.0,44.0,76.0,39.0,26.0,38.0,62.0,11.0,19.0,77.0,61.0,62.0,64.0,40.0,73.0,51.0,40.0,43.0,38.0,65.0,0.0,25.0,68.0,26.0,73.0,0.0,66.0,63.0,46.0,53.0,37.0,74.0,48.0,52.0,76.0,57.0,67.0,68.0,53.0,42.0,0.0,60.0,33.0,59.0,80.0,40.0,63.0,45.0,74.0,57.0,72.0,45.0,67.0,100.0,76.0,29.0,35.0,9.0,72.0,63.0,29.0,60.0,31.0,67.0,62.0,48.0,35.0,49.0,71.0,56.0,47.0,67.0,38.0,70.0,79.0,69.0,81.0,64.0,68.0,60.0,64.0,0.0,36.0,63.0,69.0,40.0,0.0,70.0,43.0,62.0,65.0,79.0,27.0,0.0,68.0,71.0,48.0,53.0,72.0,36.0,46.0,78.0,54.0,68.0,53.0,64.0,69.0,51.0,62.0,61.0,64.0,34.0,73.0,74.0,53.0,57.0,82.0,57.0,79.0,41.0,67.0,44.0,63.0,57.0,0.0,43.0,65.0,66.0,65.0,68.0,76.0,37.0,66.0,62.0,42.0,49.0,41.0,69.0,63.0,43.0,42.0,57.0,43.0,77.0,54.0,62.0,53.0,71.0,13.0,69.0,48.0,72.0,35.0,32.0,66.0,62.0,76.0,58.0,85.0,73.0,56.0,70.0,52.0,65.0,47.0,55.0,42.0,20.0,75.0,44.0,60.0,56.0,59.0,61.0,48.0,47.0,69.0,46.0,70.0,65.0,41.0,47.0,67.0,26.0,62.0,67.0,34.0,41.0,41.0,42.0,52.0,63.0,73.0,26.0,14.0,29.0,49.0,64.0,47.0,58.0,24.0,68.0,66.0,62.0,39.0,64.0,0.0,53.0,61.0,61.0,53.0,73.0,78.0,56.0,55.0,73.0,61.0,63.0,27.0,72.0,63.0,0.0,65.0,67.0,72.0,100.0,48.0
Kentucky,18.8,18.6,65.0,68.0,86.0,63.0,41.0,62.0,42.0,78.0,14.0,25.0,87.0,85.0,74.0,80.0,53.0,83.0,67.0,28.0,46.0,37.0,47.0,0.0,24.0,74.0,52.0,97.0,63.0,80.0,80.0,38.0,55.0,44.0,83.0,69.0,80.0,92.0,59.0,89.0,82.0,76.0,47.0,33.0,51.0,43.0,72.0,97.0,42.0,81.0,47.0,62.0,75.0,89.0,94.0,80.0,62.0,69.0,51.0,55.0,12.0,92.0,78.0,37.0,73.0,31.0,85.0,56.0,42.0,42.0,65.0,61.0,63.0,49.0,72.0,53.0,94.0,89.0,86.0,78.0,87.0,36.0,73.0,74.0,0.0,33.0,79.0,89.0,67.0,26.0,69.0,34.0,74.0,98.0,58.0,45.0,0.0,54.0,69.0,31.0,67.0,77.0,100.0,55.0,95.0,67.0,82.0,79.0,70.0,73.0,76.0,70.0,85.0,78.0,70.0,80.0,94.0,69.0,65.0,89.0,53.0,97.0,58.0,83.0,59.0,66.0,48.0,0.0,69.0,85.0,88.0,88.0,78.0,84.0,63.0,73.0,60.0,100.0,44.0,49.0,63.0,67.0,38.0,51.0,83.0,53.0,92.0,72.0,95.0,78.0,79.0,15.0,89.0,58.0,89.0,33.0,27.0,66.0,85.0,86.0,45.0,78.0,73.0,55.0,76.0,46.0,95.0,25.0,50.0,53.0,27.0,92.0,53.0,91.0,52.0,67.0,75.0,52.0,52.0,48.0,56.0,65.0,78.0,56.0,73.0,87.0,36.0,74.0,82.0,34.0,50.0,54.0,62.0,63.0,71.0,92.0,60.0,25.0,29.0,49.0,78.0,49.0,68.0,15.0,58.0,71.0,79.0,50.0,58.0,0.0,52.0,65.0,69.0,76.0,71.0,100.0,45.0,58.0,76.0,66.0,92.0,53.0,67.0,71.0,0.0,65.0,82.0,76.0,69.0,27.0
Louisiana,20.1,19.9,73.0,52.0,91.0,58.0,51.0,77.0,43.0,71.0,13.0,19.0,86.0,73.0,50.0,75.0,49.0,98.0,56.0,26.0,58.0,37.0,52.0,0.0,26.0,89.0,39.0,88.0,27.0,61.0,70.0,57.0,55.0,34.0,85.0,58.0,79.0,87.0,73.0,82.0,87.0,76.0,58.0,0.0,54.0,100.0,70.0,90.0,66.0,75.0,54.0,59.0,84.0,78.0,60.0,77.0,48.0,70.0,44.0,71.0,18.0,84.0,79.0,39.0,74.0,46.0,91.0,71.0,51.0,17.0,59.0,82.0,56.0,62.0,83.0,55.0,87.0,93.0,83.0,80.0,78.0,22.0,69.0,80.0,24.0,35.0,74.0,75.0,62.0,0.0,69.0,100.0,75.0,81.0,81.0,54.0,0.0,71.0,64.0,29.0,63.0,48.0,45.0,54.0,88.0,33.0,77.0,76.0,72.0,78.0,67.0,65.0,90.0,81.0,78.0,78.0,95.0,68.0,81.0,83.0,38.0,99.0,50.0,79.0,48.0,89.0,83.0,24.0,100.0,77.0,83.0,91.0,77.0,83.0,30.0,59.0,65.0,97.0,45.0,55.0,61.0,67.0,74.0,49.0,71.0,16.0,89.0,82.0,88.0,77.0,84.0,16.0,86.0,61.0,85.0,48.0,20.0,64.0,73.0,81.0,80.0,83.0,80.0,57.0,82.0,56.0,59.0,46.0,76.0,48.0,30.0,91.0,59.0,75.0,66.0,64.0,76.0,60.0,51.0,65.0,47.0,73.0,71.0,67.0,61.0,80.0,62.0,60.0,75.0,68.0,63.0,47.0,62.0,59.0,75.0,52.0,48.0,31.0,44.0,58.0,58.0,48.0,84.0,14.0,68.0,69.0,85.0,45.0,66.0,0.0,64.0,50.0,68.0,86.0,73.0,91.0,40.0,55.0,73.0,64.0,90.0,53.0,70.0,62.0,0.0,61.0,74.0,87.0,65.0,38.0
Maine,24.0,24.9,85.0,68.0,54.0,74.0,53.0,0.0,36.0,85.0,20.0,25.0,85.0,100.0,61.0,97.0,52.0,79.0,69.0,52.0,59.0,45.0,76.0,0.0,27.0,71.0,0.0,77.0,0.0,79.0,84.0,53.0,52.0,100.0,71.0,59.0,73.0,94.0,60.0,89.0,80.0,56.0,78.0,100.0,26.0,32.0,65.0,84.0,54.0,85.0,52.0,75.0,71.0,100.0,22.0,67.0,71.0,44.0,41.0,43.0,11.0,86.0,100.0,100.0,58.0,28.0,74.0,67.0,38.0,0.0,56.0,90.0,55.0,74.0,58.0,44.0,72.0,75.0,90.0,68.0,100.0,0.0,61.0,71.0,0.0,45.0,35.0,87.0,78.0,0.0,0.0,0.0,68.0,81.0,81.0,0.0,0.0,47.0,73.0,0.0,74.0,0.0,0.0,55.0,92.0,72.0,98.0,86.0,61.0,81.0,97.0,71.0,92.0,95.0,0.0,80.0,87.0,62.0,61.0,90.0,62.0,81.0,49.0,63.0,46.0,71.0,74.0,0.0,0.0,63.0,72.0,76.0,78.0,77.0,41.0,81.0,46.0,74.0,51.0,41.0,100.0,83.0,55.0,100.0,78.0,38.0,85.0,52.0,67.0,66.0,86.0,14.0,71.0,69.0,82.0,42.0,42.0,94.0,100.0,94.0,60.0,81.0,85.0,49.0,69.0,64.0,26.0,0.0,64.0,49.0,20.0,86.0,84.0,70.0,77.0,57.0,73.0,30.0,69.0,69.0,72.0,100.0,90.0,47.0,47.0,85.0,24.0,62.0,80.0,28.0,61.0,54.0,96.0,68.0,100.0,79.0,100.0,36.0,9.0,57.0,90.0,38.0,51.0,21.0,57.0,73.0,90.0,37.0,55.0,0.0,58.0,58.0,87.0,81.0,65.0,87.0,58.0,37.0,67.0,66.0,65.0,44.0,89.0,81.0,0.0,89.0,90.0,82.0,76.0,47.0
Maryland,16.3,16.3,78.0,69.0,100.0,76.0,73.0,74.0,48.0,74.0,14.0,23.0,76.0,71.0,64.0,83.0,58.0,79.0,76.0,29.0,38.0,46.0,49.0,0.0,34.0,62.0,60.0,86.0,45.0,84.0,74.0,41.0,62.0,64.0,81.0,73.0,84.0,82.0,49.0,77.0,77.0,63.0,70.0,35.0,68.0,84.0,72.0,86.0,40.0,85.0,100.0,100.0,84.0,96.0,62.0,91.0,89.0,64.0,46.0,48.0,12.0,75.0,73.0,38.0,66.0,67.0,95.0,62.0,50.0,100.0,55.0,78.0,38.0,57.0,75.0,47.0,71.0,87.0,91.0,90.0,77.0,97.0,72.0,100.0,14.0,33.0,53.0,86.0,53.0,82.0,60.0,66.0,100.0,76.0,78.0,36.0,60.0,67.0,90.0,38.0,91.0,41.0,31.0,47.0,86.0,50.0,78.0,64.0,93.0,75.0,67.0,74.0,86.0,88.0,33.0,100.0,83.0,65.0,66.0,78.0,56.0,94.0,84.0,77.0,58.0,83.0,81.0,61.0,82.0,90.0,70.0,78.0,89.0,100.0,47.0,78.0,62.0,81.0,58.0,47.0,88.0,72.0,56.0,44.0,85.0,56.0,86.0,67.0,77.0,97.0,81.0,12.0,91.0,94.0,78.0,39.0,34.0,60.0,85.0,83.0,69.0,97.0,93.0,54.0,82.0,100.0,53.0,63.0,58.0,43.0,77.0,76.0,68.0,63.0,51.0,74.0,65.0,44.0,46.0,70.0,53.0,63.0,84.0,42.0,57.0,76.0,24.0,64.0,80.0,67.0,58.0,50.0,80.0,63.0,75.0,81.0,65.0,15.0,60.0,61.0,82.0,49.0,65.0,38.0,70.0,68.0,73.0,56.0,100.0,0.0,93.0,60.0,77.0,56.0,80.0,93.0,36.0,74.0,80.0,90.0,84.0,76.0,80.0,84.0,0.0,62.0,77.0,89.0,85.0,74.0
Massachusetts,20.9,20.9,81.0,61.0,82.0,90.0,46.0,100.0,40.0,70.0,16.0,28.0,74.0,80.0,47.0,80.0,49.0,75.0,80.0,29.0,39.0,44.0,50.0,0.0,26.0,67.0,59.0,79.0,56.0,82.0,78.0,42.0,60.0,53.0,73.0,66.0,90.0,84.0,69.0,73.0,66.0,71.0,62.0,22.0,52.0,52.0,73.0,78.0,40.0,84.0,96.0,86.0,85.0,88.0,58.0,79.0,58.0,66.0,60.0,45.0,12.0,75.0,71.0,35.0,64.0,51.0,79.0,43.0,42.0,62.0,52.0,62.0,51.0,56.0,76.0,44.0,65.0,85.0,83.0,77.0,76.0,64.0,59.0,81.0,17.0,28.0,43.0,91.0,56.0,45.0,79.0,25.0,70.0,76.0,73.0,35.0,49.0,80.0,80.0,75.0,72.0,42.0,35.0,51.0,90.0,40.0,85.0,81.0,73.0,77.0,67.0,66.0,72.0,89.0,41.0,83.0,85.0,65.0,52.0,79.0,68.0,90.0,50.0,81.0,46.0,85.0,67.0,38.0,86.0,72.0,76.0,76.0,86.0,80.0,55.0,60.0,70.0,68.0,56.0,40.0,87.0,66.0,53.0,45.0,82.0,67.0,79.0,70.0,69.0,77.0,70.0,13.0,70.0,100.0,69.0,34.0,30.0,59.0,86.0,88.0,78.0,97.0,73.0,59.0,69.0,73.0,57.0,50.0,58.0,50.0,43.0,75.0,47.0,58.0,47.0,65.0,70.0,41.0,58.0,72.0,54.0,79.0,89.0,35.0,54.0,77.0,29.0,60.0,78.0,63.0,60.0,49.0,70.0,90.0,63.0,90.0,60.0,28.0,35.0,53.0,73.0,47.0,62.0,33.0,56.0,69.0,86.0,64.0,72.0,73.0,55.0,50.0,84.0,72.0,74.0,85.0,34.0,69.0,76.0,87.0,69.0,47.0,76.0,99.0,0.0,59.0,80.0,90.0,78.0,50.0
Michigan,19.7,19.7,74.0,67.0,70.0,62.0,45.0,83.0,39.0,70.0,20.0,22.0,85.0,77.0,69.0,76.0,51.0,77.0,70.0,30.0,40.0,38.0,50.0,0.0,24.0,72.0,50.0,82.0,60.0,76.0,81.0,59.0,57.0,35.0,82.0,64.0,80.0,90.0,53.0,79.0,84.0,62.0,55.0,7.0,53.0,58.0,66.0,82.0,57.0,77.0,56.0,69.0,66.0,79.0,67.0,77.0,51.0,55.0,39.0,38.0,15.0,91.0,72.0,38.0,70.0,59.0,84.0,62.0,45.0,23.0,52.0,80.0,43.0,52.0,71.0,46.0,79.0,90.0,80.0,73.0,72.0,58.0,66.0,78.0,15.0,36.0,75.0,94.0,63.0,41.0,73.0,23.0,60.0,82.0,68.0,28.0,68.0,65.0,69.0,46.0,61.0,23.0,54.0,53.0,89.0,29.0,79.0,75.0,60.0,71.0,56.0,55.0,74.0,75.0,85.0,76.0,89.0,73.0,64.0,97.0,56.0,88.0,50.0,73.0,48.0,72.0,75.0,46.0,83.0,71.0,79.0,83.0,74.0,76.0,46.0,66.0,64.0,81.0,47.0,54.0,63.0,63.0,58.0,51.0,79.0,61.0,94.0,83.0,74.0,78.0,78.0,13.0,78.0,63.0,79.0,48.0,26.0,67.0,77.0,85.0,53.0,86.0,69.0,57.0,67.0,60.0,100.0,63.0,55.0,51.0,25.0,77.0,61.0,74.0,67.0,64.0,65.0,43.0,56.0,64.0,50.0,64.0,85.0,46.0,70.0,78.0,38.0,76.0,81.0,45.0,37.0,50.0,68.0,59.0,61.0,73.0,66.0,17.0,64.0,49.0,63.0,55.0,64.0,22.0,60.0,72.0,78.0,46.0,81.0,67.0,46.0,50.0,77.0,57.0,73.0,89.0,31.0,55.0,78.0,70.0,84.0,54.0,78.0,79.0,0.0,55.0,82.0,81.0,68.0,40.0
Minnesota,18.9,19.0,91.0,57.0,63.0,68.0,45.0,40.0,44.0,70.0,12.0,21.0,77.0,81.0,61.0,74.0,62.0,76.0,85.0,32.0,43.0,45.0,55.0,0.0,27.0,58.0,60.0,71.0,27.0,72.0,81.0,52.0,61.0,64.0,76.0,44.0,68.0,82.0,57.0,84.0,71.0,59.0,55.0,85.0,46.0,55.0,68.0,81.0,50.0,74.0,61.0,82.0,72.0,81.0,84.0,79.0,54.0,49.0,57.0,39.0,11.0,78.0,56.0,34.0,60.0,47.0,75.0,63.0,41.0,54.0,52.0,69.0,64.0,50.0,59.0,41.0,73.0,75.0,87.0,70.0,75.0,82.0,73.0,73.0,25.0,29.0,69.0,86.0,55.0,8.0,54.0,37.0,69.0,75.0,69.0,31.0,0.0,51.0,73.0,50.0,74.0,100.0,32.0,46.0,86.0,65.0,87.0,84.0,72.0,59.0,67.0,66.0,77.0,79.0,40.0,75.0,77.0,63.0,59.0,88.0,49.0,82.0,100.0,75.0,51.0,66.0,49.0,25.0,81.0,68.0,72.0,74.0,80.0,79.0,53.0,64.0,72.0,84.0,54.0,44.0,85.0,63.0,46.0,57.0,69.0,43.0,86.0,70.0,66.0,67.0,76.0,12.0,88.0,61.0,78.0,25.0,25.0,72.0,88.0,82.0,80.0,82.0,80.0,52.0,75.0,64.0,59.0,49.0,46.0,46.0,28.0,75.0,55.0,63.0,53.0,69.0,63.0,52.0,56.0,95.0,53.0,67.0,83.0,51.0,55.0,79.0,25.0,68.0,77.0,55.0,62.0,43.0,37.0,100.0,81.0,76.0,33.0,15.0,20.0,51.0,69.0,50.0,56.0,100.0,100.0,69.0,71.0,64.0,78.0,27.0,71.0,75.0,70.0,50.0,78.0,89.0,25.0,67.0,78.0,64.0,67.0,60.0,82.0,85.0,0.0,69.0,82.0,75.0,79.0,64.0
