State ID,Year,sorrow,afraid,anxiety,endure,stress,tragedy,brain,lonely,watch,medication,parents,poverty (real),listening,irritable,abuse,improvement,alienation,studies,needy,level,courage,clarity,upset,world health organization,degree,label,healthy,poor,friends,patience,gain,understanding,suicide,heal,esteem,hurt,home,anger,low,condition,strength,substances,media,education (real),pizza,victim,observation,antisocial,withdrawn,treatment,wailing,abandoned,weak,warning,doctor,education,talk,effect,mental health,burger,insecure,affect,drugs,skills,programs,pessimistic,personal,fast food,quality,immune,data,fight,inadequate,fatigue,mental,foreign born  (real),cooperative,scared,isolated,evaluation,disease,grieving,tack,family,prevention,shopping,oppressed,trajectory,ability,triumph,concern,alone,shattered,troubled,thoughts,substance abuse,separation,time,withdrawal,melancholy,bikini,overwhelmed,zero,descent,normal,communication,hereditary,unusual,confusion,eat,bipolar,diet,child,failure, endless,fear,inability,suffer,fat,irrational, confused,defensive,happy,health (real),rejected,homesick,antidepressant,median age (real),agitated,peers,broken,pills,grief,trapped,amenorrhea,crying,medicine,cycle,frustration,death,empty,treat, Crushing,morbid,option,wretched,sleep,clinical,stigma,organize,cure,reality,agony,isolation,teenagers,die,consumed,involvement,interfere,defeated,Forever,excluded,wounded,hopeless,blue,torment,nervous,knowledge,symptoms,youth,suffering,discrimination,unique,overcome,income (real),patient,distressed,solitary,sad,brittle,attitude,requirement,attempt,down,help,guideline,heavy,resulting,disorder,sport,paranoid,achy,suicidal,caregiver,breakdown,problem,opinion,struggle,interested,tired,need,goals,necessary,psychiatrist,children,cruel,report, hopeless,source,panic,attention,counsel,protect,statistics,fragile,dreadful,siblings,talking,feelings,abnormal,kill,nothing, sleep,pain,uncomfortable,review,validation,awareness,quantity,diagnosis,sadness,signs,thesis,moody,worry,prescription,reckless,study,miserable,weight loss,freaking,donut,health,monitor,alarm,sugar,depressed,exercise,adolescents,security,sympathetic,therapy,tragic,injured,love,doomed,desperate,travel,cope,vulnerable,insomnia,exhausted,despair,quest,progressive,crushed,aid,partum,anxious,pattern, numb,crisis,depression,physician,unhappy
42,2011,62.0,67.0,77.0,60.0,86.0,71.0,89.0,71.0,74.0,88.0,82.0,18.3,100.0,79.0,68.0,39.0,46.0,74.0,72.0,79.0,49.0,66.0,92.0,48.0,82.0,91.0,70.0,66.0,76.0,82.0,78.0,87.0,74.0,45.0,55.0,78.0,81.0,83.0,88.0,75.0,79.0,52.0,76.0,83.2,66.0,74.0,80.0,78.0,50.0,89.0,72.0,67.0,77.0,35.0,93.0,71.0,79.0,85.0,60.0,71.0,69.0,84.0,58.0,78.0,84.0,73.0,89.0,72.0,75.0,63.0,92.0,68.0,56.0,100.0,75.0,4.5,29.0,86.0,63.0,76.0,86.0,28.0,47.0,84.0,73.0,34.0,47.0,31.0,79.0,67.0,47.0,90.0,85.0,63.0,65.0,35.0,70.0,79.0,85.0,78.0,74.0,67.0,84.0,66.0,61.0,68.0,59.0,48.0,63.0,86.0,90.0,90.0,90.0,99.0,75.0,42.0,59.0,78.0,80.0,71.0,61.0,31.0,69.0,14.6,73.0,62.0,67.0,37.8,61.0,60.0,11.0,70.0,66.0,82.0,74.0,86.0,90.0,74.0,84.0,85.0,82.0,77.0,50.0,67.0,75.0,79.0,95.0,69.0,45.0,83.0,79.0,83.0,71.0,77.0,84.0,82.0,59.0,64.0,58.0,100.0,69.0,78.0,39.0,57.0,79.0,28.0,81.0,86.0,90.0,75.0,79.0,79.0,72.0,74.0,41693,80.0,64.0,55.0,31.0,49.0,75.0,62.0,87.0,89.0,86.0,64.0,86.0,59.0,73.0,82.0,41.0,76.0,67.0,44.0,86.0,83.0,12.0,26.0,85.0,81.0,87.0,78.0,81.0,85.0,87.0,51.0,45.0,59.0,64.0,76.0,87.0,23.0,76.0,67.0,72.0,61.0,63.0,57.0,60.0,93.0,79.0,83.0,83.0,97.0,51.0,69.0,52.0,86.0,71.0,88.0,54.0,87.0,71.0,36.0,79.0,91.0,67.0,73.0,84.0,89.0,70.0,59.0,77.0,32.0,85.0,77.0,75.0,86.0,54.0,79.0,60.0,82.0,69.0,83.0,80.0,55.0,73.0,60.0,74.0,60.0,73.0,56.0,63.0,74.0,51.0,73.0,53.0,70.0,80.0,62.0,85.0,71.0,79.0,95.0,64.0
43,2011,52.0,66.0,67.0,50.0,67.0,60.0,73.0,72.0,65.0,69.0,73.0,18.5,62.0,61.0,53.0,29.0,40.0,55.0,65.0,72.0,46.0,69.0,88.0,36.0,72.0,66.0,66.0,54.0,84.0,78.0,74.0,61.0,71.0,42.0,57.0,79.0,67.0,80.0,77.0,77.0,66.0,43.0,65.0,80.4,81.0,68.0,57.0,51.0,50.0,69.0,50.0,56.0,74.0,26.0,86.0,42.0,50.0,68.0,29.0,99.0,72.0,74.0,43.0,61.0,60.0,87.0,72.0,85.0,62.0,58.0,73.0,76.0,52.0,72.0,46.0,16.2,16.0,81.0,47.0,46.0,67.0,35.0,35.0,71.0,51.0,31.0,40.0,34.0,68.0,65.0,37.0,83.0,81.0,44.0,64.0,30.0,57.0,90.0,65.0,72.0,69.0,74.0,71.0,60.0,53.0,62.0,41.0,41.0,50.0,86.0,74.0,78.0,85.0,78.0,63.0,37.0,44.0,79.0,92.0,55.0,62.0,100.0,70.0,23.0,75.0,73.0,57.0,33.5,47.0,52.0,14.0,84.0,55.0,68.0,44.0,84.0,64.0,72.0,68.0,79.0,69.0,65.0,47.0,56.0,65.0,49.0,85.0,47.0,31.0,64.0,83.0,77.0,59.0,60.0,62.0,76.0,58.0,45.0,51.0,45.0,73.0,57.0,35.0,70.0,66.0,100.0,75.0,58.0,75.0,52.0,69.0,59.0,58.0,71.0,49392,52.0,43.0,49.0,32.0,45.0,68.0,65.0,70.0,81.0,77.0,53.0,83.0,52.0,55.0,80.0,37.0,73.0,62.0,31.0,74.0,71.0,11.0,21.0,82.0,86.0,81.0,66.0,73.0,83.0,70.0,43.0,41.0,70.0,59.0,57.0,70.0,16.0,70.0,50.0,57.0,54.0,56.0,53.0,68.0,63.0,75.0,82.0,76.0,79.0,63.0,61.0,49.0,62.0,64.0,56.0,56.0,80.0,67.0,78.0,65.0,67.0,74.0,49.0,70.0,76.0,60.0,63.0,54.0,35.0,87.0,100.0,70.0,70.0,42.0,69.0,49.0,65.0,59.0,74.0,81.0,52.0,66.0,53.0,58.0,62.0,87.0,61.0,61.0,65.0,55.0,69.0,41.0,57.0,76.0,45.0,75.0,64.0,65.0,61.0,58.0
44,2011,72.0,60.0,72.0,72.0,80.0,50.0,84.0,65.0,83.0,72.0,82.0,13.5,84.0,62.0,66.0,45.0,35.0,64.0,51.0,87.0,59.0,79.0,84.0,34.0,74.0,78.0,83.0,71.0,73.0,77.0,73.0,88.0,73.0,44.0,78.0,63.0,73.0,73.0,86.0,80.0,78.0,52.0,87.0,90.6,61.0,82.0,61.0,66.0,91.0,74.0,68.0,55.0,70.0,32.0,93.0,54.0,56.0,93.0,63.0,78.0,56.0,81.0,48.0,79.0,81.0,69.0,88.0,73.0,92.0,73.0,98.0,64.0,100.0,96.0,75.0,8.2,16.0,68.0,58.0,56.0,70.0,45.0,35.0,100.0,57.0,30.0,35.0,46.0,95.0,64.0,42.0,79.0,94.0,66.0,100.0,77.0,50.0,92.0,73.0,87.0,90.0,71.0,100.0,93.0,54.0,76.0,49.0,40.0,66.0,86.0,69.0,83.0,71.0,81.0,71.0,60.0,48.0,69.0,84.0,79.0,53.0,23.0,67.0,15.3,71.0,31.0,78.0,29.1,47.0,86.0,12.0,62.0,60.0,57.0,53.0,77.0,63.0,85.0,92.0,81.0,100.0,70.0,41.0,53.0,89.0,75.0,93.0,60.0,50.0,100.0,77.0,76.0,96.0,70.0,73.0,81.0,78.0,57.0,51.0,33.0,74.0,54.0,24.0,77.0,78.0,37.0,72.0,62.0,73.0,85.0,66.0,61.0,73.0,95.0,55869,40.0,51.0,63.0,33.0,54.0,70.0,69.0,85.0,92.0,91.0,83.0,81.0,45.0,73.0,86.0,39.0,85.0,69.0,31.0,83.0,87.0,14.0,15.0,76.0,74.0,92.0,96.0,71.0,65.0,74.0,37.0,51.0,98.0,77.0,61.0,89.0,18.0,89.0,80.0,65.0,66.0,51.0,53.0,65.0,47.0,77.0,85.0,88.0,76.0,70.0,83.0,100.0,64.0,76.0,56.0,58.0,73.0,76.0,24.0,61.0,69.0,60.0,51.0,98.0,72.0,68.0,89.0,79.0,38.0,89.0,91.0,70.0,96.0,44.0,71.0,50.0,85.0,54.0,80.0,71.0,49.0,80.0,75.0,68.0,64.0,76.0,72.0,78.0,79.0,49.0,61.0,53.0,49.0,68.0,99.0,85.0,72.0,84.0,71.0,57.0
45,2011,66.0,74.0,100.0,75.0,78.0,70.0,89.0,91.0,100.0,65.0,71.0,11.5,63.0,55.0,71.0,28.0,63.0,100.0,64.0,86.0,60.0,48.0,86.0,52.0,62.0,79.0,100.0,78.0,65.0,93.0,55.0,80.0,100.0,43.0,38.0,61.0,72.0,77.0,80.0,72.0,75.0,28.0,78.0,91.0,54.0,76.0,87.0,79.0,56.0,87.0,68.0,78.0,61.0,37.0,84.0,66.0,64.0,92.0,88.0,45.0,67.0,77.0,87.0,78.0,100.0,59.0,71.0,33.0,78.0,87.0,85.0,52.0,60.0,97.0,85.0,3.9,48.0,63.0,60.0,78.0,88.0,94.0,89.0,96.0,76.0,37.0,64.0,66.0,77.0,79.0,72.0,89.0,58.0,64.0,61.0,93.0,54.0,75.0,86.0,55.0,60.0,75.0,100.0,64.0,46.0,58.0,61.0,40.0,78.0,78.0,88.0,73.0,86.0,86.0,81.0,42.0,88.0,80.0,75.0,71.0,68.0,18.0,58.0,6.6,70.0,83.0,68.0,41.4,82.0,87.0,11.0,50.0,100.0,70.0,67.0,79.0,85.0,82.0,39.0,89.0,85.0,59.0,65.0,61.0,58.0,77.0,82.0,53.0,59.0,67.0,78.0,76.0,92.0,69.0,55.0,79.0,79.0,43.0,62.0,57.0,61.0,34.0,34.0,71.0,90.0,21.0,90.0,62.0,77.0,73.0,91.0,92.0,58.0,61.0,52776,62.0,42.0,52.0,36.0,39.0,73.0,55.0,45.0,89.0,74.0,66.0,89.0,48.0,100.0,92.0,37.0,85.0,78.0,51.0,88.0,88.0,19.0,24.0,77.0,91.0,75.0,71.0,68.0,66.0,80.0,53.0,47.0,87.0,71.0,67.0,70.0,16.0,78.0,77.0,86.0,83.0,52.0,54.0,78.0,44.0,76.0,81.0,75.0,77.0,71.0,78.0,55.0,81.0,72.0,77.0,63.0,67.0,79.0,21.0,69.0,64.0,53.0,63.0,74.0,56.0,44.0,61.0,85.0,31.0,93.0,92.0,78.0,84.0,54.0,59.0,88.0,89.0,33.0,70.0,67.0,89.0,86.0,72.0,89.0,67.0,73.0,56.0,69.0,68.0,68.0,96.0,90.0,73.0,88.0,80.0,79.0,99.0,94.0,69.0,100.0
46,2011,66.0,69.0,75.0,49.0,79.0,72.0,78.0,75.0,81.0,67.0,85.0,11.5,78.0,68.0,60.0,50.0,41.0,80.0,74.0,77.0,57.0,75.0,97.0,63.0,79.0,77.0,68.0,68.0,72.0,81.0,78.0,86.0,77.0,43.0,63.0,79.0,69.0,87.0,79.0,82.0,73.0,50.0,75.0,86.6,67.0,78.0,66.0,64.0,74.0,79.0,71.0,65.0,84.0,34.0,90.0,57.0,75.0,91.0,48.0,66.0,72.0,80.0,48.0,78.0,85.0,73.0,96.0,64.0,77.0,64.0,100.0,72.0,54.0,87.0,64.0,11.0,31.0,80.0,63.0,78.0,78.0,43.0,45.0,84.0,72.0,44.0,57.0,49.0,88.0,67.0,55.0,91.0,75.0,55.0,77.0,53.0,100.0,82.0,80.0,68.0,72.0,80.0,81.0,77.0,54.0,74.0,54.0,47.0,65.0,83.0,88.0,73.0,90.0,92.0,87.0,46.0,40.0,75.0,89.0,68.0,56.0,30.0,68.0,12.5,92.0,60.0,62.0,37.3,45.0,72.0,11.0,68.0,62.0,79.0,50.0,87.0,83.0,78.0,91.0,79.0,83.0,67.0,59.0,58.0,87.0,71.0,95.0,58.0,48.0,77.0,79.0,81.0,71.0,62.0,62.0,82.0,61.0,64.0,58.0,49.0,75.0,87.0,63.0,62.0,77.0,22.0,72.0,97.0,77.0,61.0,83.0,84.0,65.0,76.0,61882,89.0,45.0,68.0,33.0,48.0,63.0,100.0,93.0,90.0,83.0,81.0,89.0,70.0,71.0,100.0,47.0,64.0,68.0,31.0,88.0,89.0,16.0,27.0,93.0,82.0,87.0,90.0,95.0,84.0,78.0,47.0,51.0,74.0,74.0,69.0,89.0,37.0,84.0,71.0,68.0,76.0,58.0,55.0,68.0,66.0,82.0,86.0,86.0,86.0,68.0,78.0,81.0,80.0,64.0,61.0,62.0,79.0,76.0,26.0,66.0,72.0,96.0,59.0,73.0,72.0,54.0,55.0,67.0,35.0,82.0,69.0,79.0,89.0,64.0,91.0,50.0,75.0,56.0,87.0,79.0,63.0,84.0,73.0,66.0,70.0,76.0,65.0,69.0,72.0,53.0,67.0,64.0,52.0,83.0,52.0,74.0,83.0,75.0,66.0,67.0
47,2011,55.0,63.0,74.0,48.0,70.0,58.0,75.0,83.0,70.0,64.0,67.0,13.9,67.0,65.0,53.0,27.0,30.0,54.0,71.0,76.0,53.0,68.0,82.0,57.0,67.0,77.0,66.0,63.0,71.0,72.0,70.0,67.0,82.0,43.0,56.0,61.0,62.0,78.0,80.0,71.0,65.0,32.0,72.0,89.8,76.0,72.0,63.0,68.0,49.0,79.0,60.0,72.0,71.0,36.0,82.0,38.0,53.0,84.0,62.0,74.0,55.0,72.0,57.0,70.0,65.0,74.0,72.0,65.0,76.0,66.0,89.0,64.0,43.0,89.0,71.0,12.8,32.0,68.0,53.0,52.0,65.0,40.0,58.0,83.0,57.0,33.0,60.0,32.0,68.0,78.0,53.0,82.0,70.0,41.0,66.0,27.0,71.0,83.0,80.0,82.0,70.0,73.0,87.0,79.0,49.0,61.0,46.0,42.0,57.0,79.0,75.0,82.0,75.0,82.0,83.0,40.0,48.0,79.0,78.0,58.0,53.0,29.0,85.0,14.2,78.0,49.0,67.0,37.1,41.0,63.0,11.0,59.0,66.0,62.0,43.0,81.0,76.0,85.0,67.0,83.0,83.0,63.0,56.0,68.0,76.0,52.0,100.0,45.0,34.0,69.0,83.0,74.0,90.0,74.0,52.0,77.0,60.0,49.0,44.0,42.0,69.0,58.0,32.0,64.0,70.0,27.0,67.0,63.0,71.0,63.0,79.0,66.0,57.0,67.0,56835,46.0,41.0,58.0,33.0,58.0,64.0,76.0,68.0,82.0,73.0,61.0,84.0,39.0,68.0,84.0,41.0,72.0,61.0,55.0,76.0,83.0,11.0,14.0,76.0,82.0,77.0,66.0,73.0,68.0,63.0,46.0,50.0,68.0,100.0,55.0,69.0,15.0,75.0,61.0,74.0,60.0,51.0,54.0,51.0,53.0,73.0,73.0,90.0,77.0,68.0,89.0,73.0,56.0,59.0,54.0,53.0,68.0,62.0,24.0,57.0,65.0,67.0,43.0,77.0,64.0,48.0,67.0,75.0,37.0,84.0,70.0,80.0,78.0,38.0,72.0,52.0,89.0,49.0,84.0,68.0,58.0,77.0,74.0,65.0,63.0,78.0,65.0,72.0,85.0,51.0,69.0,69.0,48.0,73.0,67.0,75.0,81.0,73.0,59.0,68.0
48,2011,100.0,100.0,88.0,70.0,82.0,100.0,90.0,80.0,88.0,100.0,92.0,18.6,77.0,60.0,97.0,35.0,61.0,83.0,96.0,85.0,59.0,58.0,95.0,36.0,94.0,77.0,73.0,74.0,91.0,93.0,84.0,85.0,85.0,47.0,76.0,100.0,84.0,98.0,98.0,70.0,86.0,71.0,71.0,82.6,61.0,74.0,75.0,90.0,67.0,100.0,87.0,86.0,100.0,30.0,97.0,100.0,70.0,91.0,46.0,52.0,64.0,100.0,71.0,81.0,90.0,86.0,89.0,58.0,69.0,100.0,71.0,73.0,68.0,96.0,76.0,1.3,15.0,97.0,69.0,67.0,98.0,41.0,56.0,85.0,73.0,34.0,59.0,51.0,78.0,43.0,62.0,100.0,100.0,50.0,77.0,69.0,72.0,80.0,86.0,89.0,77.0,82.0,85.0,88.0,69.0,70.0,100.0,59.0,76.0,90.0,100.0,88.0,92.0,93.0,82.0,51.0,60.0,69.0,91.0,100.0,84.0,26.0,76.0,14.9,80.0,80.0,85.0,41.1,31.0,40.0,13.0,91.0,79.0,90.0,69.0,81.0,100.0,93.0,70.0,100.0,90.0,100.0,58.0,78.0,44.0,44.0,94.0,59.0,44.0,72.0,77.0,91.0,83.0,60.0,83.0,100.0,50.0,48.0,66.0,60.0,67.0,39.0,37.0,81.0,84.0,35.0,95.0,65.0,100.0,72.0,77.0,95.0,82.0,91.0,38482,68.0,55.0,76.0,44.0,55.0,68.0,62.0,59.0,100.0,92.0,44.0,98.0,68.0,86.0,86.0,44.0,76.0,94.0,20.0,99.0,94.0,17.0,15.0,80.0,88.0,98.0,87.0,88.0,79.0,86.0,57.0,43.0,61.0,54.0,77.0,81.0,19.0,74.0,76.0,81.0,76.0,47.0,61.0,100.0,100.0,100.0,92.0,85.0,99.0,92.0,67.0,32.0,93.0,65.0,100.0,71.0,100.0,85.0,21.0,96.0,93.0,100.0,52.0,75.0,86.0,61.0,67.0,70.0,30.0,72.0,84.0,96.0,93.0,77.0,78.0,100.0,83.0,70.0,90.0,91.0,81.0,95.0,56.0,60.0,72.0,84.0,100.0,86.0,73.0,62.0,77.0,83.0,38.0,74.0,71.0,100.0,71.0,92.0,100.0,67.0
49,2011,55.0,64.0,79.0,48.0,85.0,65.0,87.0,75.0,75.0,81.0,82.0,13.1,85.0,73.0,67.0,38.0,45.0,68.0,54.0,76.0,57.0,92.0,88.0,68.0,71.0,90.0,81.0,66.0,69.0,70.0,72.0,80.0,75.0,40.0,65.0,65.0,72.0,83.0,81.0,71.0,74.0,44.0,77.0,89.8,75.0,77.0,57.0,72.0,58.0,82.0,61.0,66.0,75.0,30.0,84.0,53.0,61.0,88.0,63.0,55.0,56.0,86.0,50.0,79.0,74.0,66.0,82.0,61.0,82.0,70.0,84.0,62.0,59.0,80.0,75.0,4.6,54.0,71.0,63.0,58.0,89.0,56.0,49.0,93.0,72.0,32.0,58.0,37.0,80.0,68.0,42.0,88.0,81.0,38.0,67.0,46.0,59.0,89.0,83.0,59.0,67.0,72.0,83.0,63.0,52.0,78.0,53.0,44.0,72.0,81.0,76.0,71.0,92.0,94.0,71.0,43.0,39.0,64.0,79.0,58.0,56.0,33.0,69.0,9.0,76.0,52.0,63.0,38.3,49.0,58.0,11.0,57.0,64.0,66.0,49.0,78.0,57.0,83.0,84.0,84.0,88.0,79.0,66.0,61.0,63.0,58.0,87.0,59.0,36.0,71.0,74.0,82.0,75.0,78.0,71.0,85.0,71.0,66.0,47.0,39.0,65.0,47.0,35.0,69.0,72.0,29.0,86.0,56.0,80.0,79.0,80.0,98.0,69.0,68.0,50395,55.0,40.0,64.0,36.0,51.0,85.0,62.0,77.0,83.0,77.0,71.0,82.0,58.0,79.0,87.0,42.0,83.0,71.0,47.0,87.0,83.0,13.0,30.0,83.0,74.0,84.0,90.0,76.0,69.0,74.0,39.0,45.0,78.0,62.0,64.0,81.0,23.0,73.0,79.0,69.0,41.0,66.0,57.0,64.0,67.0,76.0,79.0,81.0,83.0,72.0,73.0,71.0,70.0,77.0,74.0,63.0,76.0,72.0,22.0,70.0,70.0,65.0,47.0,73.0,65.0,52.0,49.0,91.0,34.0,73.0,72.0,74.0,85.0,50.0,69.0,62.0,78.0,54.0,100.0,69.0,63.0,85.0,68.0,61.0,58.0,68.0,63.0,68.0,76.0,80.0,63.0,39.0,55.0,55.0,68.0,71.0,78.0,83.0,69.0,60.0
50,2011,67.0,84.0,69.0,71.0,91.0,65.0,100.0,96.0,64.0,77.0,78.0,11.3,62.0,79.0,100.0,25.0,17.0,60.0,64.0,70.0,82.0,46.0,55.0,41.0,80.0,86.0,73.0,100.0,64.0,79.0,62.0,70.0,85.0,37.0,71.0,65.0,74.0,77.0,83.0,88.0,88.0,57.0,99.0,91.9,57.0,100.0,100.0,46.0,62.0,87.0,75.0,65.0,57.0,39.0,80.0,80.0,72.0,90.0,78.0,47.0,27.0,83.0,42.0,96.0,82.0,99.0,77.0,73.0,95.0,63.0,93.0,67.0,26.0,81.0,77.0,3.1,33.0,82.0,50.0,79.0,80.0,19.0,100.0,81.0,67.0,34.0,60.0,56.0,74.0,72.0,66.0,86.0,81.0,100.0,65.0,98.0,65.0,72.0,69.0,53.0,69.0,61.0,81.0,94.0,53.0,64.0,53.0,69.0,14.0,79.0,80.0,91.0,85.0,87.0,77.0,40.0,55.0,24.0,81.0,71.0,46.0,27.0,61.0,15.4,19.0,69.0,49.0,36.9,96.0,55.0,12.0,63.0,39.0,32.0,39.0,61.0,91.0,97.0,72.0,93.0,67.0,57.0,75.0,65.0,59.0,31.0,91.0,36.0,39.0,74.0,69.0,78.0,81.0,80.0,79.0,81.0,39.0,81.0,100.0,34.0,55.0,73.0,48.0,69.0,75.0,26.0,85.0,68.0,80.0,72.0,100.0,63.0,100.0,87.0,56322,50.0,46.0,68.0,37.0,72.0,66.0,51.0,56.0,94.0,89.0,62.0,93.0,44.0,77.0,78.0,33.0,67.0,100.0,36.0,85.0,80.0,12.0,12.0,44.0,88.0,85.0,100.0,81.0,28.0,75.0,100.0,68.0,81.0,94.0,66.0,67.0,15.0,72.0,76.0,67.0,97.0,14.0,50.0,93.0,93.0,84.0,90.0,87.0,76.0,75.0,71.0,25.0,90.0,60.0,81.0,49.0,79.0,89.0,24.0,73.0,87.0,81.0,53.0,78.0,75.0,49.0,56.0,66.0,34.0,73.0,75.0,57.0,88.0,78.0,72.0,93.0,85.0,86.0,96.0,68.0,72.0,84.0,89.0,73.0,46.0,65.0,49.0,100.0,80.0,69.0,57.0,38.0,100.0,57.0,97.0,58.0,88.0,100.0,72.0,98.0
0,2012,65.0,72.0,70.0,83.0,90.0,82.0,85.0,69.0,75.0,87.0,91.0,19.0,74.0,86.0,71.0,59.0,49.0,74.0,69.0,93.0,62.0,65.0,88.0,43.0,96.0,78.0,67.0,79.0,77.0,96.0,89.0,88.0,72.0,38.0,46.0,82.0,84.0,76.0,86.0,87.0,79.0,76.0,62.0,82.6,48.0,82.0,56.0,68.0,80.0,88.0,64.0,70.0,84.0,36.0,88.0,72.0,85.0,84.0,70.0,67.0,66.0,82.0,52.0,70.0,86.0,90.0,85.0,47.0,63.0,81.0,74.0,73.0,72.0,91.0,87.0,3.5,30.0,85.0,82.0,72.0,82.0,38.0,53.0,88.0,64.0,35.0,47.0,64.0,77.0,70.0,52.0,88.0,77.0,78.0,67.0,50.0,64.0,71.0,77.0,80.0,78.0,74.0,85.0,59.0,60.0,56.0,68.0,48.0,100.0,82.0,82.0,93.0,94.0,87.0,73.0,42.0,57.0,75.0,81.0,71.0,96.0,56.0,67.0,13.3,74.0,73.0,70.0,37.8,37.0,64.0,11.0,75.0,65.0,71.0,65.0,85.0,86.0,85.0,61.0,93.0,71.0,68.0,43.0,59.0,64.0,49.0,81.0,58.0,41.0,86.0,76.0,96.0,64.0,74.0,74.0,84.0,77.0,78.0,57.0,65.0,70.0,70.0,46.0,71.0,85.0,28.0,82.0,70.0,85.0,70.0,89.0,82.0,69.0,78.0,41574,64.0,83.0,85.0,28.0,90.0,84.0,66.0,73.0,91.0,92.0,54.0,76.0,56.0,75.0,72.0,67.0,55.0,63.0,38.0,89.0,95.0,13.0,66.0,83.0,71.0,89.0,77.0,70.0,79.0,86.0,77.0,55.0,86.0,61.0,98.0,85.0,21.0,85.0,71.0,75.0,63.0,91.0,53.0,81.0,86.0,86.0,94.0,92.0,88.0,61.0,70.0,61.0,86.0,79.0,70.0,63.0,86.0,87.0,100.0,87.0,86.0,61.0,67.0,64.0,92.0,60.0,54.0,62.0,31.0,78.0,74.0,71.0,87.0,50.0,81.0,74.0,78.0,85.0,100.0,83.0,66.0,75.0,53.0,61.0,68.0,68.0,71.0,73.0,64.0,60.0,58.0,56.0,54.0,100.0,67.0,89.0,69.0,84.0,70.0,58.0
1,2012,100.0,62.0,66.0,100.0,66.0,62.0,78.0,100.0,58.0,66.0,67.0,10.1,78.0,76.0,76.0,55.0,52.0,58.0,49.0,87.0,58.0,70.0,86.0,24.0,78.0,66.0,78.0,73.0,75.0,79.0,70.0,74.0,94.0,41.0,31.0,69.0,64.0,80.0,78.0,70.0,70.0,74.0,48.0,91.6,62.0,83.0,54.0,78.0,72.0,89.0,61.0,69.0,85.0,65.0,77.0,54.0,46.0,96.0,87.0,53.0,51.0,73.0,38.0,64.0,68.0,51.0,70.0,45.0,84.0,79.0,83.0,66.0,34.0,77.0,72.0,6.9,50.0,77.0,65.0,80.0,70.0,28.0,45.0,70.0,81.0,32.0,62.0,35.0,71.0,59.0,51.0,88.0,71.0,51.0,77.0,78.0,72.0,68.0,65.0,95.0,74.0,58.0,87.0,85.0,46.0,58.0,46.0,49.0,64.0,78.0,64.0,93.0,86.0,83.0,69.0,38.0,53.0,55.0,85.0,53.0,66.0,30.0,66.0,20.5,78.0,59.0,66.0,33.8,51.0,66.0,11.0,54.0,60.0,49.0,60.0,88.0,64.0,83.0,60.0,85.0,74.0,55.0,57.0,66.0,65.0,51.0,81.0,40.0,58.0,74.0,81.0,85.0,54.0,70.0,58.0,73.0,53.0,62.0,36.0,43.0,63.0,77.0,48.0,65.0,76.0,19.0,66.0,73.0,66.0,84.0,72.0,64.0,72.0,62.0,67712,38.0,35.0,84.0,37.0,77.0,89.0,81.0,70.0,89.0,88.0,48.0,98.0,63.0,76.0,82.0,46.0,68.0,65.0,43.0,83.0,81.0,13.0,36.0,71.0,75.0,75.0,71.0,52.0,43.0,66.0,74.0,86.0,29.0,51.0,76.0,62.0,13.0,67.0,79.0,67.0,54.0,78.0,48.0,86.0,84.0,70.0,62.0,88.0,78.0,69.0,78.0,34.0,87.0,62.0,54.0,67.0,70.0,68.0,27.0,70.0,68.0,66.0,44.0,59.0,77.0,89.0,63.0,61.0,41.0,80.0,75.0,68.0,81.0,28.0,62.0,45.0,81.0,78.0,69.0,72.0,61.0,74.0,82.0,77.0,55.0,58.0,74.0,100.0,73.0,69.0,49.0,37.0,80.0,76.0,93.0,81.0,81.0,75.0,49.0,53.0
